n,Naive Algorithm,Kmp Algorithm,Boyer Moore Algorithm
2,3.591320515,1.794952631,3.688189983
4,4.492353201,1.810817719,4.181021214
8,5.995560646,1.840950727,5.932399035
16,9.352074385,1.848701,9.919134378
32,15.22053671,1.817786455,18.55824685
64,29.98623586,2.127987623,35.73228216
128,54.48680377,2.188267231,67.11973071
256,95.55268621,2.136051178,117.073138
512,173.0663567,2.247884512,169.5566604
1024,37.87263227,2.242387056,193.6979618
2048,164.3682828,2.611464739,219.0671506
4096,171.4518976,2.31116128,214.2004237
8192,23.01883578,2.212613344,201.5748007
16384,364.6259947,2.605374098,201.5152979
32768,150.5163922,2.217971325,201.7322559
65536,34.63221836,2.218858242,201.7322559
